date ; stroke
2019-01-29 22:29:36,485 ; m
2019-01-29 22:29:36,541 ; a
2019-01-29 22:29:36,693 ; g
2019-01-29 22:29:36,821 ; e
2019-01-29 22:29:42,748 ; shift_r
2019-01-29 22:29:42,844 ; x
2019-01-29 22:29:43,212 ; -
2019-01-29 22:29:43,444 ; shift_r
2019-01-29 22:29:46,100 ; ,
2019-01-29 22:29:46,252 ; space
2019-01-29 22:29:49,556 ; r
2019-01-29 22:29:49,652 ; e
2019-01-29 22:29:49,836 ; s
2019-01-29 22:29:49,972 ; t
2019-01-29 22:29:51,476 ; backspace
2019-01-29 22:29:52,372 ; shift_r
2019-01-29 22:29:52,508 ; -
2019-01-29 22:29:52,940 ; i
2019-01-29 22:29:53,124 ; m
2019-01-29 22:29:54,884 ; i
2019-01-29 22:29:55,068 ; m
2019-01-29 22:29:55,100 ; a
2019-01-29 22:29:55,292 ; g
2019-01-29 22:29:55,412 ; e
2019-01-29 22:29:56,780 ; space
2019-01-29 22:29:56,908 ; =
2019-01-29 22:29:56,988 ; space
2019-01-29 22:30:34,924 ; f
2019-01-29 22:30:35,100 ; f
2019-01-29 22:30:35,411 ; t
2019-01-29 22:30:36,116 ; shift_r
2019-01-29 22:30:37,292 ; (
2019-01-29 22:30:37,948 ; )
2019-01-29 22:30:39,076 ; left
2019-01-29 22:30:39,812 ; i
2019-01-29 22:30:39,979 ; m
2019-01-29 22:30:40,076 ; a
2019-01-29 22:30:40,260 ; g
2019-01-29 22:30:40,355 ; e
2019-01-29 22:30:40,843 ; right
2019-01-29 22:30:41,491 ; ;
2019-01-29 22:30:44,923 ; cmd
2019-01-29 22:30:46,243 ; enter
2019-01-29 22:31:24,697 ; enter
2019-01-29 22:31:25,057 ; g
2019-01-29 22:31:25,144 ; r
2019-01-29 22:31:25,360 ; a
2019-01-29 22:31:25,544 ; d
2019-01-29 22:31:25,808 ; backspace
2019-01-29 22:31:26,704 ; d
2019-01-29 22:31:26,888 ; space
2019-01-29 22:31:26,968 ; =
2019-01-29 22:31:27,096 ; space
2019-01-29 22:31:30,770 ; backspace
2019-01-29 22:31:30,890 ; backspace
2019-01-29 22:31:31,026 ; backspace
2019-01-29 22:31:31,178 ; backspace
2019-01-29 22:31:31,322 ; backspace
2019-01-29 22:31:31,554 ; backspace
2019-01-29 22:31:31,890 ; backspace
2019-01-29 22:31:32,170 ; f
2019-01-29 22:31:32,266 ; o
2019-01-29 22:31:32,362 ; r
2019-01-29 22:31:32,442 ; space
2019-01-29 22:31:33,298 ; i
2019-01-29 22:31:33,667 ; =
2019-01-29 22:31:33,819 ; shift_r
2019-01-29 22:31:33,906 ; &
2019-01-29 22:31:34,226 ; :
