date ; stroke
2019-02-03 15:59:52,583 ; tab
2019-02-03 16:01:01,005 ; alt_l
2019-02-03 16:01:01,064 ; tab
2019-02-03 16:01:04,908 ; alt_l
2019-02-03 16:01:04,950 ; tab
2019-02-03 16:01:05,748 ; alt_l
2019-02-03 16:01:05,793 ; tab
2019-02-03 16:01:18,176 ; alt_l
2019-02-03 16:01:18,235 ; tab
2019-02-03 16:01:37,503 ; alt_l
2019-02-03 16:01:37,576 ; tab
2019-02-03 16:01:38,275 ; alt_l
2019-02-03 16:01:38,347 ; tab
2019-02-03 16:02:02,306 ; alt_l
2019-02-03 16:02:02,346 ; tab
2019-02-03 16:02:03,126 ; alt_l
2019-02-03 16:02:03,153 ; tab
2019-02-03 16:02:06,320 ; alt_l
2019-02-03 16:02:06,378 ; tab
2019-02-03 16:02:07,346 ; alt_l
2019-02-03 16:02:07,387 ; tab
2019-02-03 16:02:34,651 ; alt_l
2019-02-03 16:02:34,701 ; tab
2019-02-03 16:02:35,612 ; alt_l
2019-02-03 16:02:35,677 ; tab
2019-02-03 16:02:57,373 ; alt_l
2019-02-03 16:02:57,441 ; tab
2019-02-03 16:03:03,174 ; alt_l
2019-02-03 16:03:03,224 ; tab
2019-02-03 16:03:16,930 ; alt_l
2019-02-03 16:03:16,974 ; tab
2019-02-03 16:03:19,980 ; alt_l
2019-02-03 16:03:20,011 ; tab
2019-02-03 16:05:16,908 ; alt_l
2019-02-03 16:05:16,946 ; tab
2019-02-03 16:05:17,492 ; alt_l
2019-02-03 16:05:17,544 ; tab
2019-02-03 16:06:27,757 ; alt_l
2019-02-03 16:06:27,837 ; tab
2019-02-03 16:06:28,252 ; alt_l
2019-02-03 16:06:28,293 ; tab
2019-02-03 16:06:42,346 ; alt_l
2019-02-03 16:06:42,400 ; tab
2019-02-03 16:06:42,973 ; alt_l
2019-02-03 16:06:43,000 ; tab
2019-02-03 16:06:57,934 ; alt_l
2019-02-03 16:06:57,996 ; tab
2019-02-03 16:06:58,868 ; alt_l
2019-02-03 16:06:58,918 ; tab
2019-02-03 16:07:01,894 ; alt_l
2019-02-03 16:07:01,961 ; tab
2019-02-03 16:07:07,445 ; caps_lock
2019-02-03 16:07:07,807 ; caps_lock
2019-02-03 16:07:08,410 ; caps_lock
2019-02-03 16:07:08,653 ; caps_lock
2019-02-03 16:07:08,925 ; caps_lock
2019-02-03 16:07:09,202 ; caps_lock
2019-02-03 16:07:30,847 ; caps_lock
2019-02-03 16:07:31,101 ; caps_lock
2019-02-03 16:07:31,613 ; caps_lock
2019-02-03 16:07:31,882 ; caps_lock
2019-02-03 16:07:32,146 ; caps_lock
2019-02-03 16:07:32,458 ; caps_lock
2019-02-03 16:07:33,650 ; alt_l
2019-02-03 16:07:33,686 ; tab
2019-02-03 16:07:38,289 ; alt_l
2019-02-03 16:07:38,316 ; tab
2019-02-03 16:07:40,782 ; alt_l
2019-02-03 16:07:40,804 ; tab
2019-02-03 16:07:42,775 ; alt_l
2019-02-03 16:07:42,786 ; tab
2019-02-03 16:07:44,193 ; alt_l
2019-02-03 16:07:44,229 ; tab
2019-02-03 16:07:47,348 ; alt_l
2019-02-03 16:07:47,393 ; tab
2019-02-03 16:07:54,927 ; alt_l
2019-02-03 16:07:54,967 ; tab
2019-02-03 16:07:58,553 ; alt_l
2019-02-03 16:07:58,625 ; tab
2019-02-03 16:08:48,552 ; alt_l
2019-02-03 16:08:48,595 ; tab
2019-02-03 16:08:51,823 ; alt_l
2019-02-03 16:08:51,873 ; tab
2019-02-03 16:09:01,256 ; alt_l
2019-02-03 16:09:01,341 ; tab
2019-02-03 16:09:01,825 ; alt_l
