date ; stroke
2019-01-29 13:52:12,621 ; backspace
2019-01-29 13:52:16,524 ; cmd
2019-01-29 13:52:18,226 ; backspace
2019-01-29 13:52:22,586 ; backspace
2019-01-29 13:52:37,400 ; cmd
2019-01-29 13:53:51,048 ; d
2019-01-29 13:53:51,230 ; i
2019-01-29 13:53:51,281 ; f
2019-01-29 13:53:51,402 ; f
2019-01-29 13:53:51,719 ; r
2019-01-29 13:53:51,847 ; e
2019-01-29 13:53:52,024 ; n
2019-01-29 13:53:52,276 ; c
2019-01-29 13:53:52,356 ; e
2019-01-29 13:53:52,744 ; space
2019-01-29 13:53:53,154 ; s
2019-01-29 13:53:53,691 ; v
2019-01-29 13:53:53,913 ; g
2019-01-29 13:53:54,148 ; space
2019-01-29 13:53:54,303 ; e
2019-01-29 13:53:54,450 ; t
2019-01-29 13:53:54,636 ; space
2019-01-29 13:53:54,810 ; g
2019-01-29 13:53:55,051 ; space
2019-01-29 13:53:55,732 ; d
2019-01-29 13:53:55,953 ; shift
2019-01-29 13:53:56,153 ; 3
2019-01-29 13:53:56,703 ; j
2019-01-29 13:53:56,747 ; s
2019-01-29 13:53:56,917 ; enter
2019-01-29 13:54:48,183 ; enter
2019-01-29 13:54:48,662 ; enter
2019-01-29 13:54:48,987 ; backspace
2019-01-29 13:54:49,196 ; backspace
2019-01-29 13:54:49,434 ; backspace
2019-01-29 13:54:49,568 ; backspace
2019-01-29 13:54:49,732 ; backspace
2019-01-29 13:54:50,299 ; backspace
2019-01-29 13:54:51,629 ; v
2019-01-29 13:54:51,768 ; a
2019-01-29 13:54:51,936 ; r
2019-01-29 13:54:52,398 ; space
2019-01-29 13:54:52,590 ; g
2019-01-29 13:54:52,883 ; space
2019-01-29 13:54:53,575 ; =
2019-01-29 13:54:54,078 ; space
2019-01-29 13:54:56,438 ; left
2019-01-29 13:54:56,622 ; backspace
2019-01-29 13:54:56,832 ; backspace
2019-01-29 13:54:56,941 ; backspace
2019-01-29 13:54:58,042 ; s
2019-01-29 13:54:58,268 ; v
2019-01-29 13:54:58,649 ; g
2019-01-29 13:55:22,570 ; )
2019-01-29 13:55:24,676 ;  ;
2019-01-29 13:56:53,525 ; alt
2019-01-29 13:56:53,525 ; cmd
2019-01-29 14:00:12,986 ; enter
2019-01-29 14:00:13,458 ; enter
2019-01-29 14:02:53,756 ; enter
2019-01-29 14:02:54,170 ; enter
2019-01-29 14:02:54,582 ; enter
2019-01-29 14:02:58,010 ; f
2019-01-29 14:02:58,174 ; u
2019-01-29 14:02:58,313 ; n
2019-01-29 14:02:58,397 ; c
2019-01-29 14:02:58,593 ; t
2019-01-29 14:02:58,649 ; i
2019-01-29 14:02:59,089 ; o
2019-01-29 14:02:59,242 ; n
2019-01-29 14:03:00,174 ; space
2019-01-29 14:03:00,286 ; t
2019-01-29 14:03:00,416 ; y
2019-01-29 14:03:00,746 ; p
2019-01-29 14:03:00,838 ; e
2019-01-29 14:03:01,023 ; (
2019-01-29 14:03:01,286 ; d
2019-01-29 14:03:02,267 ; right
2019-01-29 14:03:03,089 ; alt
2019-01-29 14:03:03,445 ; 5
2019-01-29 14:03:04,834 ; enter
2019-01-29 14:03:07,082 ; d
2019-01-29 14:03:07,332 ;  ;
2019-01-29 14:03:08,060 ; backspace
2019-01-29 14:03:08,205 ; shift
2019-01-29 14:03:08,337 ; .
2019-01-29 14:03:08,695 ; p
2019-01-29 14:03:08,944 ; r
2019-01-29 14:03:09,112 ; i
2019-01-29 14:03:09,232 ; c
2019-01-29 14:03:09,332 ; e
2019-01-29 14:03:10,712 ; space
2019-01-29 14:03:10,841 ; =
2019-01-29 14:03:10,901 ; space
2019-01-29 14:03:11,248 ; shift
2019-01-29 14:03:11,412 ; +
2019-01-29 14:03:12,194 ; d
2019-01-29 14:03:12,419 ; shift
2019-01-29 14:03:12,511 ; .
2019-01-29 14:03:12,757 ; p
2019-01-29 14:03:12,793 ; r
2019-01-29 14:03:12,989 ; i
2019-01-29 14:03:13,045 ; c
2019-01-29 14:03:13,128 ; e
2019-01-29 14:03:14,360 ; enter
2019-01-29 14:03:15,188 ; d
2019-01-29 14:03:15,456 ; shift
2019-01-29 14:03:15,576 ; .
2019-01-29 14:03:15,873 ; d
2019-01-29 14:03:15,925 ; a
2019-01-29 14:03:16,186 ; t
2019-01-29 14:03:16,563 ; e
2019-01-29 14:03:17,353 ; space
2019-01-29 14:03:17,482 ; =
2019-01-29 14:03:17,542 ; space
2019-01-29 14:03:29,808 ; p
2019-01-29 14:03:29,928 ; a
2019-01-29 14:03:30,101 ; r
2019-01-29 14:03:30,832 ; s
2019-01-29 14:03:31,086 ; e
2019-01-29 14:03:31,221 ; r
2019-01-29 14:03:31,632 ; backspace
2019-01-29 14:03:31,827 ; shift
2019-01-29 14:03:32,019 ; d
2019-01-29 14:03:32,356 ; a
2019-01-29 14:03:32,608 ; t
2019-01-29 14:03:32,793 ; e
2019-01-29 14:03:33,203 ; (
2019-01-29 14:03:33,858 ; d
2019-01-29 14:03:34,417 ; shift
2019-01-29 14:03:34,537 ; .
2019-01-29 14:03:34,689 ; d
2019-01-29 14:03:34,813 ; a
2019-01-29 14:03:35,058 ; t
2019-01-29 14:03:35,166 ; e
2019-01-29 14:03:47,129 ; right
2019-01-29 14:03:48,254 ; left
2019-01-29 14:03:57,858 ; right
2019-01-29 14:03:58,285 ;  ;
2019-01-29 14:03:58,673 ; enter
2019-01-29 14:03:59,454 ; r
2019-01-29 14:03:59,493 ; e
2019-01-29 14:03:59,677 ; t
2019-01-29 14:03:59,781 ; u
2019-01-29 14:03:59,895 ; r
2019-01-29 14:04:00,017 ; n
2019-01-29 14:04:01,467 ; space
2019-01-29 14:04:01,543 ; d
2019-01-29 14:04:02,385 ;  ;
2019-01-29 14:04:14,725 ; enter
2019-01-29 14:04:16,905 ; v
2019-01-29 14:04:17,077 ; a
2019-01-29 14:04:17,213 ; r
2019-01-29 14:04:17,448 ; space
2019-01-29 14:04:17,649 ; p
2019-01-29 14:04:17,708 ; a
2019-01-29 14:04:17,924 ; r
2019-01-29 14:04:18,102 ; s
2019-01-29 14:04:18,251 ; e
2019-01-29 14:04:18,567 ; shift
2019-01-29 14:04:18,974 ; shift
2019-01-29 14:04:19,518 ; d
2019-01-29 14:04:19,729 ; a
2019-01-29 14:04:19,920 ; t
2019-01-29 14:04:20,039 ; e
2019-01-29 14:04:20,593 ; shift
2019-01-29 14:04:20,892 ; space
2019-01-29 14:04:20,988 ; =
2019-01-29 14:04:21,063 ; space
2019-01-29 14:04:21,656 ; d
2019-01-29 14:04:21,840 ; shift
2019-01-29 14:04:22,032 ; 3
2019-01-29 14:04:22,252 ; shift
2019-01-29 14:04:22,377 ; .
2019-01-29 14:04:23,091 ; t
2019-01-29 14:04:23,527 ; i
2019-01-29 14:04:23,753 ; m
2019-01-29 14:04:23,825 ; e
2019-01-29 14:04:24,491 ; shift
2019-01-29 14:04:24,635 ; p
2019-01-29 14:04:24,867 ; a
2019-01-29 14:04:25,048 ; r
2019-01-29 14:04:25,220 ; s
2019-01-29 14:04:25,418 ; e
2019-01-29 14:04:25,654 ; (
2019-01-29 14:04:27,317 ; "
2019-01-29 14:04:28,520 ; shift
2019-01-29 14:04:28,657 ; %
2019-01-29 14:04:30,610 ; b
2019-01-29 14:04:30,830 ; space
2019-01-29 14:04:31,163 ; shift
2019-01-29 14:04:31,431 ; %
2019-01-29 14:04:31,684 ; shift
2019-01-29 14:04:31,952 ; y
2019-01-29 14:04:34,011 ; right
2019-01-29 14:04:34,619 ; right
2019-01-29 14:04:35,070 ;  ;
2019-01-29 14:04:46,174 ; enter
2019-01-29 14:04:48,073 ; v
2019-01-29 14:04:48,206 ; a
2019-01-29 14:04:48,600 ; r
2019-01-29 14:04:49,296 ; space
2019-01-29 14:04:49,659 ; d
2019-01-29 14:04:49,824 ; i
2019-01-29 14:04:49,909 ; s
2019-01-29 14:04:50,061 ; p
2019-01-29 14:04:50,218 ; l
2019-01-29 14:04:50,301 ; a
2019-01-29 14:04:50,654 ; shift
2019-01-29 14:04:51,234 ; y
2019-01-29 14:04:51,420 ; shift
2019-01-29 14:04:51,796 ; d
2019-01-29 14:04:52,068 ; a
2019-01-29 14:04:52,333 ; t
2019-01-29 14:04:52,440 ; e
2019-01-29 14:04:52,794 ; space
2019-01-29 14:04:53,084 ; =
2019-01-29 14:04:53,135 ; space
2019-01-29 14:04:53,400 ; d
2019-01-29 14:04:53,595 ; shift
2019-01-29 14:04:53,818 ; 3
2019-01-29 14:04:54,048 ; shift
2019-01-29 14:04:54,136 ; .
2019-01-29 14:04:55,329 ; t
2019-01-29 14:04:55,507 ; u
2019-01-29 14:04:55,777 ; m
2019-01-29 14:04:55,841 ; e
2019-01-29 14:04:56,129 ; backspace
2019-01-29 14:04:56,255 ; backspace
2019-01-29 14:04:56,387 ; backspace
2019-01-29 14:04:56,789 ; i
2019-01-29 14:04:57,005 ; m
2019-01-29 14:04:57,072 ; e
2019-01-29 14:04:57,460 ; shift
2019-01-29 14:04:57,640 ; f
2019-01-29 14:04:57,790 ; o
2019-01-29 14:04:57,868 ; r
2019-01-29 14:04:58,009 ; a
2019-01-29 14:04:58,024 ; m
2019-01-29 14:04:58,533 ; t
2019-01-29 14:04:58,799 ; (
2019-01-29 14:04:59,750 ; "
2019-01-29 14:05:01,033 ; shift
2019-01-29 14:05:01,325 ; %
2019-01-29 14:05:01,917 ; b
2019-01-29 14:05:02,998 ; space
2019-01-29 14:05:03,258 ; shift
2019-01-29 14:05:03,425 ; %
2019-01-29 14:05:03,701 ; shift
2019-01-29 14:05:03,880 ; y
2019-01-29 14:05:06,633 ; right
2019-01-29 14:05:07,195 ; right
2019-01-29 14:05:09,351 ;  ;
2019-01-29 14:05:26,422 ; enter
2019-01-29 14:05:26,743 ; enter
2019-01-29 14:05:28,082 ; f
2019-01-29 14:05:28,191 ; u
2019-01-29 14:05:28,335 ; n
2019-01-29 14:05:28,411 ; c
2019-01-29 14:05:28,606 ; t
2019-01-29 14:05:28,662 ; i
2019-01-29 14:05:28,827 ; o
2019-01-29 14:05:28,971 ; n
2019-01-29 14:05:29,409 ; space
2019-01-29 14:05:29,489 ; r
2019-01-29 14:05:29,549 ; e
2019-01-29 14:05:29,756 ; n
2019-01-29 14:05:29,836 ; d
2019-01-29 14:05:29,944 ; e
2019-01-29 14:05:30,080 ; r
2019-01-29 14:05:30,578 ; (
2019-01-29 14:05:30,881 ; d
2019-01-29 14:05:31,223 ; t
2019-01-29 14:05:31,562 ; a
2019-01-29 14:05:32,197 ; backspace
2019-01-29 14:05:32,479 ; backspace
2019-01-29 14:05:32,626 ; a
2019-01-29 14:05:32,754 ; t
2019-01-29 14:05:33,172 ; a
2019-01-29 14:05:33,868 ; right
2019-01-29 14:05:35,240 ; alt
2019-01-29 14:05:35,636 ; 5
2019-01-29 14:05:36,453 ; enter
2019-01-29 14:05:49,821 ; enter
2019-01-29 14:05:50,197 ; enter
2019-01-29 14:05:51,314 ; d
2019-01-29 14:05:51,540 ; shift
2019-01-29 14:05:51,760 ; 3
2019-01-29 14:05:51,982 ; shift
2019-01-29 14:05:52,122 ; .
2019-01-29 14:05:52,462 ; c
2019-01-29 14:05:52,587 ; s
2019-01-29 14:05:52,784 ; v
2019-01-29 14:05:53,076 ; (
2019-01-29 14:05:54,569 ; "
2019-01-29 14:05:54,858 ; s
2019-01-29 14:05:55,101 ; t
2019-01-29 14:05:55,693 ; o
2019-01-29 14:05:55,721 ; c
2019-01-29 14:05:55,875 ; k
2019-01-29 14:05:56,566 ; s
2019-01-29 14:05:56,792 ; shift
2019-01-29 14:05:56,963 ; .
2019-01-29 14:05:57,301 ; c
2019-01-29 14:05:57,453 ; s
2019-01-29 14:05:57,626 ; v
2019-01-29 14:05:58,361 ; right
2019-01-29 14:05:59,206 ; ,
2019-01-29 14:05:59,614 ; space
2019-01-29 14:05:59,794 ; t
2019-01-29 14:06:00,061 ; y
